% Model:              ML端口边界_高斯光极限精度比较1.32.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 6 2024, 09:23
% Dimension:          1
% Nodes:              1521
% Expressions:        1
% Description:        线结果图
% x 坐标 (m);real(ewfd.Ez)
-1.1737894736842103E-7;-5.009224642745702E-4
-1.1713026315789472E-7;-5.02708681664867E-4
-1.168815789473684E-7;-5.01819954862498E-4
-1.1663289473684208E-7;-4.982562838674632E-4
-1.1638421052631577E-7;-4.920176686797624E-4
-1.1613552631578946E-7;-4.8253029450143637E-4
-1.1588684210526315E-7;-4.6903421166640376E-4
-1.1563815789473684E-7;-4.515294201746648E-4
-1.1538947368421053E-7;-4.300159200262192E-4
-1.1514078947368421E-7;-4.0374513957275716E-4
-1.1489210526315788E-7;-3.717648171167371E-4
-1.1464342105263156E-7;-3.3407495265815913E-4
-1.1439473684210524E-7;-2.906755461970232E-4
-1.1414605263157893E-7;-2.4062651619328226E-4
-1.1389736842105262E-7;-1.8277684854883127E-4
-1.1364868421052631E-7;-1.1712654326367015E-4
-1.134E-7;-4.3675600337798934E-5
-1.1315131578947368E-7;3.871445152161022E-5
-1.1290263157894736E-7;1.3139144527554573E-4
-1.1265394736842106E-7;2.343553809240076E-4
-1.1240526315789474E-7;3.4760625846699583E-4
-1.1215657894736843E-7;4.7247953661727767E-4
-1.1190789473684211E-7;6.10511903923453E-4
-1.116592105263158E-7;7.61703360385522E-4
-1.1141052631578948E-7;9.260539060034845E-4
-1.1116184210526316E-7;0.0011050887124778293
-1.1091315789473685E-7;0.0013005195821972151
-1.1066447368421053E-7;0.0015123465151616424
-1.1041578947368421E-7;0.0017405695113711112
-1.1016710526315791E-7;0.0019868906796291466
-1.099184210526316E-7;0.0022531731719231795
-1.0966973684210526E-7;0.002539416988253209
-1.0942105263157896E-7;0.0028456221286192354
-1.0917236842105264E-7;0.0031736452563835456
-1.0892368421052633E-7;0.003525457652495163
-1.0867500000000001E-7;0.0039010593169540872
-1.084263157894737E-7;0.004300450249760319
-1.0817763157894738E-7;0.00472560035375723
-1.0792894736842106E-7;0.005178513290662914
-1.0768026315789475E-7;0.005659189060477372
-1.0743157894736843E-7;0.006167627663200604
-1.071828947368421E-7;0.006705838954981709
-1.069342105263158E-7;0.0072757373011476355
-1.0668552631578948E-7;0.007877322701698383
-1.0643684210526315E-7;0.00851059515663395
-1.0618815789473685E-7;0.009177485755991864
-1.0593947368421053E-7;0.009879641929180706
-1.056907894736842E-7;0.010617063676200479
-1.054421052631579E-7;0.011389750997051182
-1.0519342105263158E-7;0.012199381894668855
-1.0494473684210527E-7;0.0130470990419778
-1.0469605263157895E-7;0.01393290243897801
-1.0444736842105263E-7;0.014856792085669495
-1.0419868421052632E-7;0.01581995859690214
-1.0395E-7;0.01682274352133024
-1.0370131578947368E-7;0.017865146858953795
-1.0345263157894737E-7;0.01894716860977281
-1.0320394736842105E-7;0.020069219226608804
-1.0295526315789474E-7;0.02123048924913901
-1.0270657894736842E-7;0.02243097867736343
-1.024578947368421E-7;0.023670687511282058
-1.0220921052631579E-7;0.02494889976923513
-1.0196052631578947E-7;0.026263256168244726
-1.0171184210526315E-7;0.027613756708310844
-1.0146315789473684E-7;0.029000401389433484
