% Model:              ML端口边界_高斯光极限精度比较1.32.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 6 2024, 09:23
% Dimension:          1
% Nodes:              1521
% Expressions:        1
% Description:        线结果图
% x 坐标 (m);imag(ewfd.Ez)
-1.258342105263158E-7;4.0014035160071726E-5
-1.2558552631578947E-7;3.8275501000084675E-5
-1.2533684210526316E-7;3.613846043676485E-5
-1.2508815789473684E-7;3.3514935803275295E-5
-1.2483947368421052E-7;3.0285995827163303E-5
-1.245907894736842E-7;2.645164050842886E-5
-1.243421052631579E-7;2.2011869847071972E-5
-1.2409342105263157E-7;1.6849408856634293E-5
-1.2384473684210523E-7;1.0819499476604251E-5
-1.2359605263157891E-7;3.9221417069818454E-6
-1.233473684210526E-7;-3.842664452232926E-6
-1.2309868421052628E-7;-1.2617995252675302E-5
-1.2284999999999997E-7;-2.257044978005872E-5
-1.2260131578947368E-7;-3.3700028034383184E-5
-1.2235263157894736E-7;-4.60067300156487E-5
-1.2210394736842104E-7;-5.9655517717517474E-5
-1.2185526315789473E-7;-7.483307247077783E-5
-1.216065789473684E-7;-9.153939427542979E-5
-1.213578947368421E-7;-1.0977448313147333E-4
-1.2110921052631578E-7;-1.2972351773003234E-4
-1.2086052631578946E-7;-1.5159403818839845E-4
-1.2061184210526314E-7;-1.753860445065717E-4
-1.2036315789473683E-7;-2.0109953668455204E-4
-1.201144736842105E-7;-2.289408499450375E-4
-1.198657894736842E-7;-2.59138986988422E-4
-1.1961710526315788E-7;-2.916939478147055E-4
-1.1936842105263156E-7;-3.2660573242388813E-4
-1.1911973684210525E-7;-3.641027216623766E-4
-1.1887105263157893E-7;-4.0443091490963303E-4
-1.1862236842105261E-7;-4.475903121656574E-4
-1.183736842105263E-7;-4.935809134304497E-4
-1.1812499999999998E-7;-5.426491046161283E-4
-1.1787631578947366E-7;-5.950432361129576E-4
-1.1762763157894735E-7;-6.507633079209376E-4
-1.1737894736842103E-7;-7.098093200400683E-4
-1.1713026315789472E-7;-7.724315610261028E-4
-1.168815789473684E-7;-8.388527337245743E-4
-1.1663289473684208E-7;-9.090728381354832E-4
-1.1638421052631577E-7;-9.830918742588291E-4
-1.1613552631578946E-7;-0.001061136644844299
-1.1588684210526315E-7;-0.0011433628381092896
-1.1563815789473684E-7;-0.0012297704540538013
-1.1538947368421053E-7;-0.0013203594926778338
-1.1514078947368421E-7;-0.0014152925283705416
-1.1489210526315788E-7;-0.001514606254669947
-1.1464342105263156E-7;-0.0016183006715760504
-1.1439473684210524E-7;-0.0017263757790888516
-1.1414605263157893E-7;-0.001838878557890229
-1.1389736842105262E-7;-0.001955667763689114
-1.1364868421052631E-7;-0.0020767433964855074
-1.134E-7;-0.002202105456279408
-1.1315131578947368E-7;-0.0023316270108419664
-1.1290263157894736E-7;-0.0024649250464863
-1.1265394736842106E-7;-0.002601999563212408
-1.1240526315789474E-7;-0.002742850561020291
-1.1215657894736843E-7;-0.0028871140488648727
-1.1190789473684211E-7;-0.00303409523862784
-1.116592105263158E-7;-0.0031837941303091907
-1.1141052631578948E-7;-0.0033362107239089268
-1.1116184210526316E-7;-0.003490674764259209
-1.1091315789473685E-7;-0.0036460988088559327
-1.1066447368421053E-7;-0.003802482857699099
-1.1041578947368421E-7;-0.003959826910788707
-1.1016710526315791E-7;-0.0041170744915498955
-1.099184210526316E-7;-0.004272647573731774
-1.0966973684210526E-7;-0.00442654615733434
-1.0942105263157896E-7;-0.004578770242357594
-1.0917236842105264E-7;-0.004727780179642465
